Scan Number,RAW File,Total Ion Current,Total Number of Peaks,Number of Channels,Frequency,Collision Energy,Retention Time (s),Mass Ranges,Precursor Intensity,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Activation Type,Mass Analyzer Type,Detector Type,Base Peak Mass,Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Base Peak Intensity,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
18020,UP 1,21838.352,852,0,0.0,27.0,42.574638,100.0-2030.0,nan,FTMS + p NSI d Full ms2 985.4614@hcd27.00 [100.0000-2030.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7039157,N/A,N/A,N/A,N/A,IT=80 ,11137.316,N/A,985.4614,2,27.00,47.893,1.60,N/A,N/A,N/A,211753737.2931,76394370.8481,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,8568.9,0.000,N/A,N/A,N/A
18021,UP 1,16730.5,848,0,0.0,27.0,42.576483,100.0-1430.0,nan,FTMS + p NSI d Full ms2 691.3475@hcd27.00 [100.0000-1430.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7068388,N/A,N/A,N/A,N/A,IT=80 ,5921.3062,N/A,691.3475,2,27.00,33.599,1.60,N/A,N/A,N/A,211753737.3452,76394370.8912,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,8382.1,0.000,N/A,N/A,N/A
18023,UP 1,28061.125,1056,0,0.0,27.0,42.58054,100.0-885.0,nan,FTMS + p NSI d Full ms2 425.2327@hcd27.00 [100.0000-885.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7092393,N/A,N/A,N/A,N/A,IT=80 ,9217.9004,N/A,425.2327,2,27.00,20.666,1.60,N/A,N/A,N/A,211753736.6246,76394370.3746,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,10966.1,0.000,N/A,N/A,N/A
18024,UP 1,27130.062,1004,0,0.0,27.0,42.582392,100.0-1525.0,nan,FTMS + p NSI d Full ms2 739.3678@hcd27.00 [100.0000-1525.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7090899,N/A,N/A,N/A,N/A,IT=80 ,10575.359,N/A,739.3678,2,27.00,35.933,1.60,N/A,N/A,N/A,211753737.3554,76394370.9087,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,8345.6,0.000,N/A,N/A,N/A
18025,UP 1,15899.391,760,0,0.0,27.0,42.584221,100.0-1380.0,nan,FTMS + p NSI d Full ms2 667.3787@hcd27.00 [100.0000-1380.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7319858,N/A,N/A,N/A,N/A,IT=80 ,7781.3242,N/A,667.3786,2,27.00,32.435,1.60,N/A,N/A,N/A,211753737.0164,76394370.6651,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,9561.2,0.000,N/A,N/A,N/A
18026,UP 1,41618.039,1284,0,0.0,27.0,42.586083,100.0-1845.0,nan,FTMS + p NSI d Full ms2 895.9493@hcd27.00 [100.0000-1845.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7030716,N/A,N/A,N/A,N/A,IT=80 ,10949.445,N/A,895.9493,2,27.00,43.543,1.60,N/A,N/A,N/A,211753736.3371,76394370.1600,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,11996.8,0.000,N/A,N/A,N/A
18027,UP 1,15198.93,760,0,0.0,27.0,42.587935,100.0-2235.0,nan,FTMS + p NSI d Full ms2 724.3600@hcd27.00 [100.0000-2235.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7095334,N/A,N/A,N/A,N/A,IT=80 ,6546.7217,N/A,724.0260,3,27.00,33.248,1.60,N/A,N/A,N/A,211753737.2114,76394370.8013,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,8861.8,0.000,N/A,N/A,N/A
18028,UP 1,22310.875,1040,0,0.0,27.0,42.589764,100.0-1140.0,nan,FTMS + p NSI d Full ms2 548.7718@hcd27.00 [100.0000-1140.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7268767,N/A,N/A,N/A,N/A,IT=80 ,3546.6094,N/A,548.7718,2,27.00,26.670,1.60,N/A,N/A,N/A,211753737.3833,76394370.9292,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,8245.4,0.000,N/A,N/A,N/A
18030,UP 1,18504.742,804,0,0.0,27.0,42.594823,100.0-1820.0,nan,FTMS + p NSI d Full ms2 881.9529@hcd27.00 [100.0000-1820.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.695347,N/A,N/A,N/A,N/A,IT=80 ,6880.0454,N/A,881.9529,2,27.00,42.863,1.60,N/A,N/A,N/A,211753737.7865,76394371.2169,N/A,N/A,-2.60,-0.08,0.00,-0.01,0,N/A,6799.7,0.000,N/A,N/A,N/A
18031,UP 1,19948.734,896,0,0.0,27.0,42.596652,100.0-1260.0,nan,FTMS + p NSI d Full ms2 607.8624@hcd27.00 [100.0000-1260.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.6957244,N/A,N/A,N/A,N/A,IT=80 ,7804.4316,N/A,0.0000,2,27.00,29.542,1.60,N/A,N/A,N/A,211753736.9137,76394370.5864,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,9929.3,0.000,N/A,N/A,N/A
